fps,smiles,qed
"[33, 231, 296, 298, 340, 343, 345, 364, 382, 400, 425, 432, 491, 604, 619, 642, 646, 822, 1192, 1563, 1565, 1591, 1641, 1810, 2028, 2261, 2267, 2546, 2974, 3024, 3150, 3223, 3395, 3406, 3417, 3454, 3660, 3669, 3681, 3691, 3709, 3712, 3732, 3735, 3740, 3749, 3750, 3751, 3756, 3762, 3772, 3781, 3786, 3881, 3883, 3886, 3891, 3913, 3914, 3916, 3920, 3925, 3942, 3999, 4079, 4138, 4286, 4325, 4330, 4825]",O=C1C2=CC=CC=C2OC13CCCCN4CCC(C5=CC=C(C)C=C5C)CC43,0.6985029225973208
"[296, 297, 340, 343, 400, 436, 443, 475, 604, 619, 676, 1192, 1502, 1565, 1810, 2258, 2261, 2434, 2666, 2974, 3162, 3223, 3348, 3573, 3584, 3639, 3660, 3691, 3705, 3732, 3735, 3739, 3740, 3749, 3750, 3772, 3776, 3780, 3781, 3785, 3786, 3820, 3881, 3883, 3891, 3900, 3920, 3925, 4079, 4261, 4330, 4410, 4733, 4764]",NCC1=CC=CC2=C1CCC=3CCCCC=32,0.7596932177495
"[0, 223, 296, 340, 437, 604, 619, 639, 676, 1138, 1143, 1144, 1192, 1535, 1565, 1591, 1723, 2258, 2259, 2261, 2427, 2694, 2974, 3024, 3077, 3162, 3181, 3223, 3522, 3595, 3601, 3618, 3639, 3691, 3705, 3709, 3728, 3732, 3738, 3739, 3740, 3749, 3750, 3751, 3756, 3772, 3787, 3868, 3881, 3883, 3918, 3920, 3925, 3941, 4079, 4263, 4283, 4286, 4330]",O=C(C1=CC=CC(F)=C1F)NCCC(OC2=NN=NC3=CC=CC=C23)CC,0.688727304932301
"[0, 231, 296, 340, 434, 437, 466, 493, 604, 619, 677, 838, 1815, 2968, 2974, 3024, 3080, 3156, 3162, 3223, 3282, 3395, 3401, 3522, 3559, 3573, 3590, 3639, 3658, 3660, 3691, 3703, 3718, 3728, 3732, 3739, 3740, 3749, 3751, 3756, 3772, 3781, 3820, 3881, 3883, 3893, 3925, 3942, 4018, 4066, 4079, 4330]",N12C3=CC=C(CN4CCCC(O)CC4C)C35C1=CC52,0.8132116617910818
"[160, 296, 297, 340, 346, 437, 604, 619, 668, 676, 1147, 1591, 2261, 2438, 2546, 2666, 2974, 2985, 3024, 3162, 3223, 3454, 3601, 3639, 3646, 3664, 3680, 3711, 3712, 3728, 3732, 3739, 3749, 3750, 3751, 3772, 3781, 3868, 3881, 3925, 3927, 3942, 3954, 4003, 4045, 4079, 4258, 4286, 4325, 4330, 4540, 4590, 4842, 4852]",COC1=CC=C(Br)C=C1C(=O)CCCC,0.7605935263808038
"[0, 231, 296, 297, 340, 343, 400, 437, 466, 598, 604, 619, 637, 646, 668, 676, 1149, 1192, 1535, 1563, 1565, 2134, 2258, 2261, 2407, 2594, 2780, 2974, 3156, 3178, 3207, 3223, 3368, 3639, 3647, 3648, 3664, 3728, 3732, 3739, 3740, 3743, 3749, 3750, 3751, 3762, 3780, 3781, 3820, 3881, 3883, 3891, 3918, 3925, 3927, 3942, 3945, 3947, 3999, 4031, 4079, 4293, 4330, 4386, 4812]",CC1=CC(F)=CC=C1OC2=NC=NC3=CC=CC=C32,0.6959323350309051
"[0, 296, 340, 402, 437, 441, 475, 682, 1138, 1147, 1192, 1572, 2261, 2305, 2427, 2434, 2546, 2666, 2819, 2854, 2974, 3024, 3081, 3178, 3223, 3401, 3454, 3639, 3670, 3681, 3700, 3732, 3739, 3740, 3743, 3749, 3750, 3751, 3756, 3772, 3781, 3787, 3820, 3843, 3881, 3883, 3906, 3920, 3925, 4031, 4066, 4079, 4121, 4273, 4293, 4330, 4663]",N#CC1=CC=CC(NCCC2CCC(CO)OCC2)=C1CCC3CC3,0.7522926146748641
"[0, 231, 296, 340, 425, 436, 437, 482, 604, 607, 619, 1138, 1147, 1153, 1630, 2305, 2511, 2546, 2819, 2835, 2974, 3024, 3223, 3368, 3454, 3477, 3691, 3696, 3718, 3728, 3732, 3736, 3739, 3740, 3749, 3751, 3762, 3772, 3776, 3781, 3786, 3820, 3881, 3883, 3925, 3927, 3954, 4079, 4325, 4328, 4330]",NC(=O)N1CCC(CCC2=CC=CC=C2)C=3C1=C=3,0.8103435171488645
"[0, 296, 297, 340, 374, 396, 400, 604, 607, 619, 676, 1147, 1262, 1565, 1797, 2261, 2427, 2974, 3155, 3156, 3178, 3223, 3282, 3403, 3406, 3545, 3559, 3639, 3646, 3658, 3681, 3691, 3700, 3703, 3728, 3739, 3740, 3749, 3751, 3772, 3781, 3820, 3846, 3868, 3881, 3920, 3942, 4031, 4079, 4080, 4120, 4236, 4267, 4327, 4330, 4494, 4842]",N=1C(=O)NCCC(C2=CC=CC=C2OC3=CC=C(Br)C=C3)C=1,0.8767803983640688
"[231, 296, 340, 425, 604, 619, 638, 668, 1144, 1470, 1582, 1591, 2193, 2258, 2261, 2263, 2427, 2710, 2780, 2974, 3024, 3178, 3223, 3539, 3545, 3639, 3660, 3670, 3681, 3691, 3705, 3712, 3720, 3734, 3739, 3740, 3742, 3749, 3750, 3751, 3756, 3762, 3765, 3772, 3781, 3820, 3881, 3883, 3914, 3920, 3925, 3941, 3942, 3993, 4031, 4079, 4155, 4286, 4293, 4330, 4493, 4590]",C1S(=O)(=O)C2CCC(CCN3CCN(CC4=CC=CC(Cl)=C4)C5C3C)C251,0.7729354589201519
