smiles,fps
CN1CCCCC1C1CCc2ccc(O)cc2O1,"[0, 1, 66, 217, 296, 297, 340, 343, 345, 434, 607, 668, 1147, 1644, 2261, 2263, 2546, 2547, 2948, 2974, 3156, 3223, 3401, 3407, 3433, 3434, 3559, 3605, 3639, 3660, 3680, 3681, 3682, 3691, 3702, 3703, 3705, 3709, 3711, 3718, 3721, 3726, 3728, 3729, 3732, 3736, 3739, 3740, 3743, 3749, 3750, 3751, 3772, 3781, 3785, 3787, 3881, 3883, 3914, 3925, 3936, 3945, 3947, 3955, 3999, 4079, 4294, 4330, 4751]"
COc1cccc(-c2ccc(Cl)c(C(=O)Nc3cc(C(N)=O)nn3-c3ccccc3)c2)n1,"[668, 676, 838, 1145, 1192, 1404, 1563, 1593, 1644, 1792, 1944, 1945, 2258, 2546, 2666, 2974, 3024, 3104, 3180, 3598, 3820, 3868, 3871, 3881, 3955, 4079, 4172, 4236, 4286, 4330]"
COCCNS(=O)(=O)c1ccc(NC2CCCCC2)c(N)c1,"[0, 213, 296, 297, 340, 343, 345, 382, 395, 443, 466, 491, 646, 651, 668, 676, 677, 751, 785, 1138, 1143, 1144, 1145, 1644, 2546, 2666, 2780, 2854, 2974, 3149, 3223, 3401, 3639, 3660, 3691, 3705, 3711, 3728, 3732, 3739, 3749, 3786, 3787, 3788, 3881, 3942, 3954, 3955, 3956, 4079, 4245, 4246, 4263, 4294, 4319, 4325, 4327, 4328, 4330, 4590, 4827, 4842, 4852]"
CC(CCCN1C(=O)CC2(CCCC2)CC1=O)N1CCN(c2ccc(F)cc2)CC1,"[0, 13, 296, 297, 298, 340, 343, 503, 604, 609, 668, 1153, 1192, 1538, 1641, 1797, 2259, 2261, 2264, 2427, 2437, 2440, 2974, 3024, 3148, 3156, 3162, 3178, 3223, 3294, 3335, 3368, 3384, 3389, 3401, 3454, 3639, 3646, 3647, 3656, 3658, 3659, 3660, 3670, 3691, 3692, 3700, 3705, 3706, 3708, 3711, 3712, 3717, 3718, 3720, 3725, 3728, 3732, 3734, 3739, 3740, 3741, 3749, 3750, 3751, 3755, 3756, 3761, 3762, 3772, 3774, 3776, 3780, 3781, 3881, 3883, 3888, 3891, 3914, 3917, 3918, 3920, 3925, 3927, 3936, 3941, 3942, 4031, 4060, 4066, 4079, 4236, 4251, 4293, 4330, 4521]"
Clc1cnc(Nc2ccc(C3CNCCO3)cc2)cn1,"[0, 44, 296, 297, 340, 382, 443, 466, 475, 646, 676, 757, 785, 1012, 1017, 1641, 2258, 2546, 2547, 2974, 3190, 3223, 3429, 3549, 3681, 3749, 3772, 3781, 3785, 3787, 3788, 3820, 3881, 3925, 3947, 3955, 3956, 4079, 4294, 4330, 4812]"
CCCCOc1cccc(CCNCC(=O)N(CC)CC)c1,"[296, 340, 343, 361, 374, 381, 382, 443, 465, 466, 475, 503, 576, 604, 606, 609, 620, 646, 668, 676, 789, 1192, 1498, 1590, 2261, 2264, 2287, 2288, 2546, 2581, 2702, 2974, 3024, 3223, 3294, 3454, 3590, 3639, 3681, 3691, 3736, 3743, 3749, 3750, 3751, 3755, 3756, 3762, 3772, 3774, 3780, 3781, 3782, 3784, 3787, 3881, 3883, 3888, 3925, 3927, 3941, 3944, 3955, 3999, 4079, 4236, 4280, 4285, 4293, 4330]"
CCc1nc(CN2CCCC(NCc3ncc(C(C)(C)C)o3)C2)no1,"[0, 222, 296, 297, 340, 343, 437, 465, 466, 604, 619, 668, 676, 677, 1153, 1155, 1159, 1172, 2026, 2261, 2974, 3156, 3194, 3223, 3368, 3401, 3639, 3660, 3691, 3705, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3881, 3883, 3914, 3925, 3936, 4079, 4293]"
CCN(CC)Cc1c(-c2ccccc2)nc2ccc(C=CC(=O)NO)cn12,"[125, 132, 296, 465, 604, 606, 619, 626, 668, 676, 838, 851, 1147, 1192, 1309, 1563, 1658, 2261, 2287, 2948, 2974, 2985, 3009, 3024, 3031, 3174, 3223, 3294, 3325, 3439, 3454, 3608, 3749, 3750, 3751, 3772, 3781, 3881, 3883, 3925, 4079, 4138, 4236, 4284, 4330, 4834]"
C=CCNC(=O)c1ccc(C)cc1Cl,"[137, 296, 338, 466, 479, 668, 676, 761, 838, 1192, 1276, 1644, 1653, 2258, 2974, 2985, 3011, 3024, 3223, 3439, 3528, 3533, 3584, 3598, 3749, 3772, 3780, 3820, 3868, 3871, 3881, 3925, 3941, 4079, 4172, 4236, 4284, 4286, 4330]"
CC(C)CCSc1nc2ccccc2[nH]1,"[0, 13, 91, 296, 297, 298, 306, 340, 341, 457, 664, 668, 1565, 2148, 2183, 2854, 2974, 3033, 3205, 3223, 3368, 3639, 3658, 3691, 3738, 3808, 4018, 4028, 4842]"
CC(NC(=O)Cc1ccccc1)c1n[nH]c(=S)o1,"[0, 13, 15, 92, 296, 503, 505, 506, 565, 668, 676, 677, 682, 838, 1192, 1249, 1563, 2974, 3024, 3217, 3223, 3294, 3454, 3681, 3749, 3772, 3774, 3780, 3781, 3881, 3925, 3927, 3941, 4079, 4236, 4330, 4515, 4842]"
Cc1c(C(=O)N2CCN(c3ncccn3)CC2)oc2ccc(F)cc12,"[296, 340, 604, 609, 620, 668, 1192, 1644, 2124, 2234, 2259, 2261, 2264, 2427, 2432, 2974, 3024, 3084, 3158, 3178, 3179, 3223, 3609, 3617, 3749, 3750, 3751, 3755, 3772, 3780, 3781, 3881, 3883, 3888, 3920, 3925, 3941, 4031, 4066, 4079, 4175, 4236, 4273, 4287, 4293, 4330, 4499, 4540]"
CCCN(Cc1ccco1)S(=O)(=O)c1ccc(OC)c(OC)c1,"[296, 340, 381, 465, 579, 604, 622, 668, 1636, 1644, 1815, 2261, 2546, 2666, 2711, 2713, 2780, 2854, 2974, 3158, 3223, 3609, 3639, 3739, 3742, 3749, 3772, 3786, 3881, 3900, 3925, 3954, 3955, 3999, 4004, 4005, 4079, 4287, 4319, 4325, 4327, 4328, 4330, 4590, 4724, 4769, 4842, 4852]"
Cc1cc(NC(=O)CSc2nc3cc(Cl)ccc3c(=O)n2C(C)C)no1,"[0, 13, 91, 296, 503, 505, 664, 668, 676, 838, 886, 1192, 1644, 1786, 1947, 2258, 2854, 2869, 2974, 3024, 3144, 3179, 3181, 3223, 3294, 3454, 3639, 3749, 3808, 3820, 3868, 3881, 4018, 4079, 4191, 4236, 4295, 4330, 4842, 4855]"
C#Cc1cc(CNC(=O)CCCCCCCC)cc(OC)c1O,"[296, 340, 343, 345, 346, 347, 348, 349, 350, 353, 361, 367, 368, 381, 400, 402, 465, 466, 479, 482, 503, 505, 668, 676, 838, 1147, 1192, 1931, 2546, 2666, 2948, 2974, 2975, 3024, 3223, 3294, 3454, 3553, 3558, 3559, 3573, 3590, 3605, 3639, 3646, 3647, 3670, 3691, 3692, 3700, 3705, 3706, 3708, 3711, 3712, 3717, 3718, 3720, 3721, 3724, 3728, 3732, 3739, 3749, 3772, 3881, 3925, 3927, 3941, 3955, 3999, 4004, 4079, 4236, 4286, 4330, 4769]"
CC1=Nc2ccccc2C1CCNC(=O)c1cnc(N2CCOCC2)nc1,"[0, 33, 296, 297, 340, 382, 386, 443, 466, 479, 604, 646, 647, 668, 676, 838, 1192, 1565, 2024, 2261, 2447, 2546, 2974, 3012, 3024, 3179, 3190, 3223, 3228, 3381, 3442, 3601, 3639, 3681, 3691, 3703, 3705, 3728, 3732, 3734, 3739, 3741, 3749, 3772, 3780, 3781, 3785, 3787, 3788, 3881, 3925, 3941, 3947, 3955, 3956, 4079, 4236, 4273, 4294, 4330]"
Cc1[nH]c(-c2cccc(F)c2F)nc1C(=O)N=C(N)N,"[668, 1145, 1192, 1591, 2148, 2259, 2974, 3012, 3024, 3033, 3881, 3906, 4031, 4066, 4079, 4121, 4236, 4330]"
COCCCNc1nccc(-c2c(-c3ccc(F)cc3)c(=O)n3n2CCC3)n1,"[296, 340, 343, 362, 374, 382, 443, 466, 646, 651, 668, 676, 771, 1641, 1797, 1909, 2259, 2546, 2666, 2974, 3179, 3223, 3639, 3739, 3743, 3749, 3787, 3788, 3881, 3915, 3955, 3956, 4031, 4066, 4079, 4273, 4292, 4330]"
CC(C)Cn1c(-c2ccc(P(=O)(O)O)o2)nc2c(N)c(F)ccc21,"[0, 13, 91, 296, 297, 298, 306, 668, 1145, 1147, 1645, 1661, 2259, 2948, 2974, 3158, 3223, 3368, 3639, 4031, 4066, 4079, 4330]"
CC(Nc1c(-c2c(F)ccc(F)c2F)c(Cl)nc2ncnn12)C(F)(F)F,"[0, 13, 17, 668, 676, 677, 682, 1153, 1535, 1645, 2149, 2258, 2259, 2974, 3179, 3211, 3223, 3401, 3639, 3749, 3820, 3881, 4031, 4052, 4064, 4066, 4079]"
COc1ccc(C(=O)c2coc3ccc(O)c(CN4CCOCC4)c23)cc1,"[296, 340, 437, 443, 604, 619, 643, 646, 647, 668, 1147, 1192, 1451, 1641, 1645, 1810, 2031, 2261, 2447, 2546, 2666, 2710, 2720, 2948, 2974, 3024, 3084, 3158, 3190, 3223, 3559, 3605, 3617, 3749, 3750, 3751, 3772, 3781, 3785, 3787, 3788, 3881, 3883, 3921, 3925, 3947, 3955, 3956, 3999, 4079, 4286, 4294, 4330, 4716]"
O=C1c2cc3c(cc2OC2CCCN12)CCCO3,"[0, 223, 296, 297, 340, 343, 374, 443, 609, 646, 1192, 1930, 2261, 2264, 2546, 2547, 2974, 3024, 3155, 3223, 3528, 3533, 3590, 3605, 3639, 3681, 3691, 3703, 3732, 3734, 3736, 3739, 3740, 3741, 3743, 3749, 3750, 3751, 3755, 3772, 3780, 3781, 3787, 3881, 3883, 3888, 3913, 3925, 3941, 3955, 3988, 3999, 4079, 4236, 4286, 4330, 4537, 4735, 4746, 4762]"
CN(C)CCCNc1c2c(nc3ccccc13)CCCC2,"[296, 340, 343, 345, 362, 373, 382, 434, 441, 466, 607, 628, 668, 676, 1565, 2112, 2185, 2261, 2263, 2305, 2974, 3142, 3223, 3568, 3607, 3608, 3639, 3684, 3687, 3691, 3739, 3740, 3749, 3750, 3772, 3881, 3883, 3925, 4079]"
Cn1c(SCc2cn3ccccc3n2)nnc1-c1ccc(Br)cc1,"[296, 664, 668, 1149, 1588, 1641, 1774, 2020, 2217, 2854, 2949, 2968, 2974, 3174, 4018, 4842]"
CC(=O)Nc1c(C#N)sc2nc3ccccc3n12,"[668, 676, 838, 889, 1152, 1192, 1262, 1565, 2150, 2190, 2974, 2976, 3024, 3199, 3223, 3294, 3454, 3749, 3881, 4079, 4236, 4330]"
CCOCCCNc1nc2c(-c3ccccc3)nnn2c2ccccc12,"[296, 340, 343, 362, 374, 382, 443, 465, 466, 646, 647, 650, 668, 676, 1563, 1565, 2149, 2151, 2546, 2594, 2974, 3144, 3179, 3223, 3639, 3739, 3743, 3749, 3787, 3788, 3881, 3955, 3956, 4079, 4292, 4330]"
C=CCN(N=O)C(=O)NCCCCC(NC(C)=O)C(=O)NCc1ccccc1,"[0, 15, 19, 137, 296, 297, 301, 302, 313, 338, 340, 343, 345, 354, 362, 363, 382, 386, 466, 479, 480, 565, 609, 668, 676, 677, 801, 838, 839, 889, 1192, 1262, 1563, 2261, 2264, 2379, 2974, 2985, 3011, 3024, 3223, 3294, 3301, 3401, 3403, 3417, 3439, 3454, 3639, 3646, 3647, 3660, 3661, 3670, 3691, 3692, 3700, 3705, 3706, 3708, 3711, 3712, 3717, 3725, 3728, 3732, 3734, 3739, 3741, 3749, 3772, 3774, 3778, 3780, 3781, 3782, 3784, 3881, 3925, 3927, 3932, 3936, 3941, 3944, 3948, 4079, 4116, 4192, 4236, 4280, 4284, 4285, 4286, 4293, 4300, 4314, 4316, 4330, 4530]"
NC(=O)CCSCCOc1ccc(Cl)cc1,"[296, 340, 400, 407, 443, 457, 458, 459, 503, 546, 646, 664, 1145, 1192, 1404, 1641, 1785, 2258, 2546, 2710, 2749, 2854, 2974, 3024, 3223, 3294, 3454, 3639, 3646, 3670, 3739, 3749, 3787, 3808, 3815, 3819, 3820, 3868, 3881, 3955, 3999, 4018, 4079, 4236, 4330, 4728, 4830, 4842, 4857]"
