smiles,fps
CCCNC(=O)c1[nH]c(C)c(C(C)=O)c1C,"[296, 340, 381, 382, 386, 465, 466, 479, 668, 676, 772, 838, 1192, 1262, 1286, 2036, 2974, 3024, 3053, 3223, 3454, 3526, 3563, 3639, 3739, 3741, 3749, 3772, 3780, 3881, 3925, 3941, 4079, 4236, 4330]"
COCCNc1cc(C)nc(-c2ccc(Br)cc2)n1,"[296, 340, 382, 443, 466, 646, 651, 668, 676, 785, 1149, 1641, 1774, 1946, 2546, 2666, 2949, 2968, 2974, 3114, 3179, 3223, 3616, 3749, 3787, 3788, 3881, 3955, 3956, 4079, 4294, 4330]"
COc1ncnc2c1c(C#N)cn2C1OC(CO)C(O)C1(C)O,"[0, 1, 16, 17, 296, 297, 493, 668, 1147, 1152, 1153, 1155, 1156, 1160, 2136, 2546, 2547, 2666, 2948, 2974, 2976, 3179, 3223, 3359, 3368, 3388, 3394, 3398, 3407, 3427, 3435, 3639, 3658, 3691, 3698, 3705, 3729, 3736, 3743, 3787, 3788, 3955, 3956, 4014, 4079, 4330, 4817, 4828]"
O=C1C=C2CCN(Cc3ccccc3)CC2(Cc2ccccc2)CC1,"[296, 340, 400, 437, 503, 565, 604, 619, 1153, 1192, 1563, 2261, 2262, 2974, 2985, 3009, 3024, 3119, 3156, 3223, 3267, 3335, 3368, 3392, 3395, 3439, 3440, 3454, 3639, 3642, 3656, 3658, 3659, 3664, 3667, 3670, 3681, 3691, 3700, 3703, 3705, 3708, 3709, 3711, 3717, 3718, 3720, 3721, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3881, 3883, 3914, 3925, 4079, 4286, 4330, 4397]"
O=C(c1cnn(-c2ccccc2)n1)N1CCCC(n2ccnc2)C1,"[0, 222, 296, 297, 340, 343, 604, 609, 620, 1192, 1563, 2261, 2264, 2392, 2974, 3024, 3156, 3223, 3639, 3691, 3705, 3728, 3732, 3734, 3739, 3740, 3741, 3749, 3750, 3751, 3755, 3772, 3780, 3781, 3881, 3883, 3888, 3914, 3925, 3941, 4079, 4236, 4330, 4538]"
CCC(CC(=O)NS(=O)(=O)C(C)C)c1ccccc1,"[0, 9, 13, 32, 72, 91, 296, 297, 465, 503, 505, 545, 668, 676, 838, 1138, 1143, 1144, 1192, 1403, 1563, 2780, 2854, 2855, 2974, 3024, 3223, 3294, 3326, 3381, 3411, 3454, 3639, 3646, 3670, 3681, 3691, 3692, 3695, 3700, 3703, 3705, 3706, 3708, 3728, 3732, 3735, 3739, 3742, 3749, 3786, 3808, 3813, 3814, 3881, 3954, 4018, 4020, 4022, 4079, 4236, 4319, 4327, 4328, 4330, 4520, 4580, 4842]"
CCC(C)(CC)NC1=NCCNC(c2ccccc2F)=C1,"[296, 340, 382, 465, 466, 668, 676, 820, 821, 824, 1153, 1154, 1155, 1158, 1565, 1583, 2259, 2974, 2985, 3007, 3012, 3223, 3352, 3368, 3401, 3439, 3442, 3599, 3639, 3658, 3659, 3660, 3691, 3705, 3739, 3749, 3767, 3772, 3781, 3881, 3906, 3925, 3935, 3936, 3939, 4031, 4066, 4079, 4230, 4284, 4286, 4293]"
CN(Cc1ccccc1)C(P(=O)(O)O)P(=O)(O)O,"[0, 66, 296, 565, 607, 668, 1147, 1563, 2261, 2262, 2263, 2304, 2948, 2974, 3881, 3883, 3925, 4079, 4286, 4330]"
COc1cc(C=CC(=O)C=Cc2ccc(O)cc2Br)ccc1O,"[125, 132, 668, 1147, 1149, 1192, 1644, 1770, 2546, 2666, 2948, 2949, 2968, 2974, 2985, 3009, 3024, 3223, 3267, 3439, 3454, 3558, 3559, 3590, 3594, 3639, 3955, 3999, 4004, 4330, 4769]"
CCOC(=O)C(=O)NNC(=O)c1coc(Br)c1,"[296, 465, 646, 653, 668, 676, 810, 812, 838, 1149, 1192, 1299, 1417, 1519, 2546, 2594, 2672, 2949, 2972, 2974, 3024, 3158, 3223, 3294, 3302, 3324, 3327, 3454, 3617, 3749, 3787, 3788, 3789, 3799, 3805, 3881, 3948, 3952, 3955, 3956, 3958, 3965, 3970, 4079, 4190, 4236, 4282, 4285, 4294, 4300, 4313, 4316, 4330, 4471, 4578, 4694, 4801, 4810]"
CNC(=O)c1cccc(Nc2ncnc(N3CCCN(Cc4ccccc4)CC3)n2)c1,"[296, 340, 343, 437, 565, 604, 619, 668, 676, 809, 838, 991, 994, 1192, 1298, 1437, 1563, 1590, 2261, 2262, 2417, 2974, 3024, 3214, 3223, 3586, 3639, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3881, 3883, 3925, 3941, 3943, 4079, 4236, 4278, 4286, 4293, 4330]"
