smiles,fp,qed,tanimoto
O=C1NCCN1CCNCCCc1ccccc1,"[296, 340, 343, 396, 437, 466, 479, 577, 604, 619, 2261, 2263, 2437, 2546, 2974, 3024, 3077, 3156, 3162, 3178, 3223, 3374, 3559, 3590, 3639, 3646, 3660, 3703, 3705, 3718, 3739, 3749, 3750, 3751, 3756, 3762, 3772, 3781, 3785, 3787, 3881, 3883, 3896, 3918, 3920, 3925, 3936, 3942, 3955, 3999, 4079, 4192, 4236, 4267, 4293, 4294, 4330]",0.711910124432111,0.7567567567567568
CC1c2ccccc2CN1CCN1C=CN(CC2CC2)CC1,"[0, 13, 292, 296, 340, 396, 426, 437, 466, 604, 619, 652, 668, 1192, 1565, 2261, 2546, 2948, 2974, 3178, 3223, 3368, 3407, 3439, 3442, 3580, 3595, 3639, 3662, 3691, 3705, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3762, 3772, 3780, 3781, 3787, 3868, 3881, 3883, 3920, 3925, 3936, 3955, 3999, 4003, 4079, 4293, 4330, 4536, 4765, 4828]",0.8268371377171833,0.46
C=C1C(C(=O)C2=CCC3=C=C=CC=C32)CCN1CC(O)C1(F)CC=CS1,"[296, 297, 340, 437, 604, 671, 1192, 1565, 2259, 2261, 2427, 2666, 2765, 2780, 2974, 3024, 3053, 3162, 3223, 3454, 3489, 3589, 3595, 3597, 3605, 3639, 3691, 3700, 3705, 3709, 3717, 3721, 3732, 3739, 3749, 3750, 3751, 3756, 3762, 3772, 3781, 3787, 3881, 3883, 3891, 3918, 3920, 3925, 3942, 3947, 3955, 3999, 4031, 4066, 4079, 4293, 4330]",0.7523716277190401,0.27058823529411763
CN(CCN1CCCC2C1CN(c1ccccc1O)N2C=O)c1ccccc1,"[0, 296, 297, 340, 343, 368, 437, 604, 676, 838, 1147, 1192, 1203, 1563, 1565, 1587, 2261, 2427, 2435, 2546, 2974, 3156, 3162, 3223, 3597, 3639, 3660, 3705, 3725, 3732, 3739, 3740, 3743, 3749, 3750, 3751, 3756, 3762, 3772, 3781, 3785, 3881, 3883, 3891, 3918, 3920, 3925, 3942, 3999, 4079, 4168, 4236, 4293, 4319, 4330]",0.7808714566620134,0.42028985507246375
CCCCN1c2nc(c[nH]2)CN1CCNc1cc(C)c(F)cc1OC,"[0, 1, 296, 325, 340, 437, 480, 578, 604, 619, 668, 676, 1192, 1795, 2259, 2261, 2427, 2546, 2666, 2974, 3053, 3156, 3178, 3223, 3381, 3401, 3439, 3547, 3639, 3691, 3739, 3749, 3750, 3751, 3756, 3772, 3781, 3881, 3883, 3913, 3918, 3920, 3925, 3942, 3944, 3955, 4005, 4031, 4079, 4253, 4267, 4273, 4293, 4330, 4812]",0.7671794246540397,0.359375
CCN1CCCCN1CC1CCCC=C1C1CCC2C=C21,"[296, 297, 340, 343, 382, 437, 465, 466, 604, 646, 668, 676, 1565, 1921, 2261, 2313, 2433, 2546, 2780, 2974, 3024, 3162, 3223, 3282, 3381, 3391, 3598, 3605, 3639, 3680, 3711, 3728, 3732, 3739, 3749, 3750, 3751, 3755, 3756, 3758, 3772, 3781, 3785, 3787, 3881, 3883, 3925, 3942, 4079, 4236, 4267, 4293, 4319, 4330, 4550]",0.7204640241172101,0.2923076923076923
COc1nc2ccccc2n1CCC=O,"[296, 297, 340, 343, 437, 604, 619, 651, 668, 838, 1192, 1565, 1620, 2261, 2563, 2974, 3024, 3162, 3178, 3223, 3294, 3368, 3381, 3435, 3601, 3639, 3691, 3706, 3720, 3739, 3749, 3750, 3751, 3752, 3756, 3759, 3772, 3776, 3781, 3881, 3883, 3888, 3890, 3891, 3925, 3936, 3942, 4031, 4079, 4292, 4293, 4330, 4530, 4828]",0.7108766678095403,0.46808510638297873
CCN(CCNC1CCN(C2CCCCC2)CC1)C(=O)Cc1c(C)cccc1C,"[231, 296, 297, 340, 382, 417, 437, 443, 465, 604, 607, 619, 624, 668, 676, 1470, 1591, 2258, 2261, 2427, 2974, 3024, 3156, 3223, 3294, 3639, 3691, 3728, 3736, 3739, 3749, 3750, 3751, 3755, 3756, 3762, 3772, 3780, 3781, 3787, 3881, 3883, 3891, 3914, 3920, 3925, 3936, 3942, 3955, 4066, 4079, 4236, 4267, 4293, 4330, 4810, 4833]",0.7153515019434432,0.4482758620689655
CCc1c(OCCCN2CCNC(=O)N2)ccc2ccccc12,"[0, 296, 297, 340, 343, 434, 437, 604, 646, 1404, 1621, 1644, 2259, 2261, 2263, 2427, 2974, 3024, 3080, 3149, 3178, 3207, 3223, 3433, 3489, 3639, 3681, 3691, 3703, 3705, 3732, 3739, 3749, 3750, 3751, 3756, 3762, 3772, 3774, 3780, 3781, 3785, 3881, 3883, 3891, 3914, 3920, 3925, 3927, 3955, 3989, 3998, 3999, 4003, 4020, 4079, 4292, 4330, 4393]",0.806332200548323,0.4528301886792453
COc1ccccc1S(=O)(=O)c1ccccc1,"[0, 296, 340, 437, 604, 668, 1138, 1145, 1192, 1633, 2259, 2261, 2434, 2546, 2666, 2780, 2974, 3024, 3049, 3077, 3162, 3178, 3223, 3282, 3368, 3401, 3454, 3579, 3592, 3595, 3637, 3639, 3658, 3670, 3691, 3700, 3705, 3739, 3740, 3743, 3749, 3750, 3751, 3756, 3772, 3780, 3781, 3787, 3881, 3883, 3891, 3920, 3925, 3932, 3941, 3942, 3945, 4003, 4031, 4079, 4236, 4286, 4293, 4328, 4330]",0.8379413113050678,1.0
NS(=O)(=O)c1ccccc1N1C=N1,"[296, 340, 427, 604, 619, 620, 1138, 1145, 1192, 1565, 1921, 2261, 2264, 2546, 2780, 2854, 2974, 3024, 3151, 3155, 3156, 3162, 3223, 3294, 3590, 3595, 3598, 3639, 3681, 3691, 3692, 3703, 3732, 3734, 3739, 3740, 3743, 3749, 3750, 3751, 3762, 3772, 3778, 3781, 3787, 3788, 3820, 3881, 3883, 3913, 3925, 3946, 4079, 4290, 4293, 4328, 4330, 4519, 4746]",0.7299906007506552,0.5384615384615384
CC1CNCCN1C1CCN2C=NC=C(C(=O)N(C)C)C3=CC312,"[296, 297, 330, 340, 425, 604, 609, 620, 668, 676, 1192, 2261, 2263, 2287, 2427, 2974, 3150, 3156, 3178, 3223, 3294, 3381, 3639, 3647, 3681, 3691, 3705, 3711, 3715, 3717, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3772, 3781, 3881, 3883, 3918, 3925, 3947, 3955, 3956, 4079, 4116, 4293, 4294, 4330]",0.7821392074052462,0.30434782608695654
CC(=O)NCCC1CN(Cc2cccc(Cl)c2)C2CC12,"[296, 297, 338, 340, 343, 382, 604, 619, 668, 1149, 1159, 1591, 2258, 2261, 2264, 2974, 3012, 3162, 3178, 3189, 3223, 3368, 3407, 3560, 3585, 3639, 3691, 3725, 3728, 3732, 3734, 3739, 3740, 3741, 3743, 3749, 3750, 3751, 3756, 3762, 3772, 3781, 3787, 3881, 3883, 3920, 3925, 3927, 3942, 3955, 4031, 4066, 4079, 4330]",0.9048579115789931,0.49019607843137253
Cc1cccc2c1N(CCCN1CCC(C)C1)C(=O)C2,"[0, 296, 340, 382, 437, 466, 503, 594, 604, 668, 785, 1192, 1565, 1587, 1591, 1925, 2258, 2261, 2434, 2546, 2974, 3024, 3162, 3223, 3406, 3429, 3454, 3639, 3647, 3659, 3670, 3691, 3703, 3705, 3709, 3711, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3762, 3772, 3781, 3815, 3881, 3883, 3891, 3918, 3925, 3941, 3942, 3945, 4031, 4066, 4079, 4293, 4330, 4398]",0.8409484627168176,0.5
COc1ccccc1CCN1CCC(C(C)C)CC1c1cncnc1C,"[296, 340, 427, 437, 466, 604, 668, 1583, 2261, 2305, 2314, 2447, 2546, 2666, 2694, 2974, 3162, 3163, 3178, 3189, 3223, 3559, 3605, 3616, 3639, 3647, 3681, 3691, 3711, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3762, 3772, 3780, 3781, 3881, 3883, 3891, 3918, 3920, 3925, 3936, 3955, 3999, 4079, 4236, 4330]",0.7691214053445959,0.44776119402985076
