5ht7_percentage,KEYS,SMARTS
0.0,KLEK_2375,[!#1]N=C1C(=O)[NH]c2[cH][cH][cH][cH]c12
0.0,KLEK_2376,[!#1]N=c1s[cH]c([!#1])n1[!#1]
0.0,KLEK_2377,[!#1]N=c1s[cH]c(c2[cH][cH]c([!#1])[cH][cH]2)n1[!#1]
0.0,KLEK_2378,[!#1]N=N[!#1]
0.0,KLEK_2380,[!#1]N1[CH]([CH3])[CH2][CH2][CH2][CH]1[CH3]
0.0,KLEK_2381,[!#1]N1[CH](S[CH2]C1=O)c2[cH][cH][cH][cH][cH]2
0.0,KLEK_2382,[!#1]n1[cH][cH][cH][cH]c1=[NH]
0.0,KLEK_2383,[!#1]n1[cH][cH][cH]c([CH3])c1=[NH]
0.0,KLEK_2384,[!#1]n1[cH][cH][cH]c1[CH]=O
0.0,KLEK_2386,[!#1]n1[cH][cH][cH]nc1=[NH]
0.0,KLEK_2599,[!#1]O[CH2]C(=O)[NH][CH]([!#1])[CH3]
0.0,KLEK_2600,[!#1]O[CH2]C(=O)[NH][CH]([CH2][CH2]S[CH3])C(=O)O[CH3]
0.0,KLEK_2601,[!#1]O[CH2]C(=O)[NH][CH2][CH2]N([CH3])[CH3]
0.0,KLEK_2828,[!#1]S(=O)(=O)c1[cH][cH]c([cH][cH]1)[CH]2[CH2][CH2][CH2][CH2][CH2]2
0.0,KLEK_2793,[!#1]S(=O)(=O)[CH2]C(=O)[OH]
0.0,KLEK_2794,[!#1]S(=O)(=O)[CH2]OC(=O)[CH3]
0.0,KLEK_2795,[!#1]S(=O)(=O)[CH3]
0.0,KLEK_2796,[!#1]S(=O)(=O)[NH][CH]([CH]([CH3])[CH3])C(=O)[OH]
0.0,KLEK_2797,[!#1]S(=O)(=O)[NH][CH]([CH2][CH2][CH3])C(=O)[OH]
0.0,KLEK_2798,[!#1]S(=O)(=O)[NH][CH]([CH3])[CH3]
0.0,KLEK_3308,CC(=O)NN=Cc1c(Cl)cccc1Cl
0.0,KLEK_2800,[!#1]S(=O)(=O)[NH][CH2][CH2][CH2][CH2][CH2]C(=O)[OH]
0.0,KLEK_2801,[!#1]S(=O)(=O)[NH][CH2][CH2][CH2][CH3]
0.0,KLEK_2802,[!#1]S(=O)(=O)[NH][CH2][CH2][CH2][OH]
0.0,KLEK_2803,[!#1]S(=O)(=O)[NH][CH2][CH2][CH2]C(=O)[OH]
0.0,KLEK_2804,[!#1]S(=O)(=O)[NH][CH2][CH2][OH]
0.0,KLEK_2805,[!#1]S(=O)(=O)[NH][CH2][CH2]C(=O)[OH]
0.0,KLEK_2806,[!#1]S(=O)(=O)[NH][CH2][CH2]OC(=O)[NH][CH2][CH2][CH2][CH3]
0.0,KLEK_2807,[!#1]S(=O)(=O)[NH][CH2]C(=O)[OH]
0.0,KLEK_2808,[!#1]S(=O)(=O)[NH][CH2]C(=O)O[CH2][CH3]
0.0,KLEK_2810,[!#1]S(=O)(=O)[NH]C([CH3])([CH3])[CH3]
0.0,KLEK_2811,[!#1]S(=O)(=O)[NH]C(=O)[CH3]
0.0,KLEK_2812,[!#1]S(=O)(=O)[NH]C(=O)[NH2]
0.0,KLEK_2813,[!#1]S(=O)(=O)[NH]C(=O)O[CH2][CH2]N([CH2][CH3])[CH2][CH3]
0.0,KLEK_2814,[!#1]S(=O)(=O)[NH2]
0.0,KLEK_2815,[!#1]S(=O)(=O)[OH]
0.0,KLEK_2816,[!#1]S(=O)(=O)C([CH3])([CH3])[CH2]C(=O)[CH3]
0.0,KLEK_2817,[!#1]S(=O)(=O)C([CH3])([CH3])[CH3]
0.0,KLEK_2818,[!#1]S(=O)(=O)C(F)(F)F
0.0,KLEK_2820,[!#1]S(=O)(=O)c1[cH][cH][cH][cH]c1[N+](=O)[O-]
0.0,KLEK_2822,[!#1]S(=O)(=O)c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
0.0,KLEK_2824,[!#1]S(=O)(=O)c1[cH][cH][cH]c([cH]1)S(=O)(=O)c2[cH][cH]c(Cl)[cH][cH]2
0.0,KLEK_2825,[!#1]S(=O)(=O)c1[cH][cH][cH]c([cH]1)S(=O)(=O)c2[cH][cH]c(Cl)c(Cl)[cH]2
0.0,KLEK_2792,[!#1]S(=O)(=O)[CH2]C(=O)[NH2]
0.0,KLEK_2791,[!#1]S(=O)(=O)[CH2]C(=O)[CH3]
0.0,KLEK_2790,[!#1]S(=O)(=O)[CH2]C(=N[NH]C(=S)[NH2])[CH3]
0.0,KLEK_2771,[!#1]OP(=O)(O[!#1])O[!#1]
0.0,KLEK_2756,[!#1]Oc1[cH][cH]c2c(=O)c([!#1])[cH]oc2[cH]1
0.0,KLEK_2757,[!#1]Oc1[cH][cH]c2c(=O)c([!#1])c([CH3])oc2[cH]1
0.0,KLEK_2758,[!#1]Oc1[cH][cH]c2C(=O)OC(=O)c2[cH]1
0.0,KLEK_2760,[!#1]Oc1[cH]c([cH][cH]c1[OH])[CH]([!#1])[!#1]
0.0,KLEK_2761,[!#1]Oc1[cH]c([CH]=N[!#1])[cH][cH]c1[OH]
0.0,KLEK_2762,[!#1]Oc1[cH]c([cH]c(O[!#1])c1O[!#1])C(=O)[!#1]
0.0,KLEK_2763,[!#1]Oc1[cH]c([CH3])[cH]c(O[!#1])[cH]1
0.0,KLEK_2764,[!#1]Oc1[cH]c(Br)[cH]c([CH]=N[!#1])c1[OH]
0.0,KLEK_2766,[!#1]Oc1c([CH3])[cH]c(Br)[cH]c1[CH3]
0.0,KLEK_2767,[!#1]Oc1c(Br)[cH]c(Br)c2[cH][cH][cH]nc12
0.0,KLEK_2768,[!#1]Oc1c(Cl)[cH]c(Cl)[cH]c1C(=O)[!#1]
0.0,KLEK_2769,[!#1]Oc1c(F)c(F)c([!#1])c(F)c1F
0.0,KLEK_2770,[!#1]OP(=O)([OH])O[!#1]
0.0,KLEK_2773,[!#1]OS(=O)(=O)[CH2][CH2]S(=O)(=O)[!#1]
0.0,KLEK_2789,[!#1]S(=O)(=O)[CH2]Br
0.0,KLEK_2774,[!#1]OS(=O)(=O)[CH2][CH2]S[!#1]
0.0,KLEK_2776,[!#1]OS(=O)(=O)[OH]
0.0,KLEK_2777,[!#1]P(=O)([OH])O[CH2][CH3]
0.0,KLEK_2778,[!#1]P(=O)(O[CH3])O[CH3]
0.0,KLEK_2779,[!#1]P1(=O)O[CH2][CH2][CH2]O1
0.0,KLEK_2781,[!#1]S(=O)(=O)[CH]1[CH2][CH2]S(=O)(=O)[CH2]1
0.0,KLEK_2782,[!#1]S(=O)(=O)[CH2][CH2][CH2][CH2][CH2][CH3]
0.0,KLEK_2783,[!#1]S(=O)(=O)[CH2][CH2][OH]
0.0,KLEK_2784,[!#1]S(=O)(=O)[CH2][CH2]C(=O)[CH3]
0.0,KLEK_2785,[!#1]S(=O)(=O)[CH2][CH2]C(=O)[OH]
0.0,KLEK_2786,[!#1]S(=O)(=O)[CH2][CH2]C(=O)O[CH2][CH3]
0.0,KLEK_2787,[!#1]S(=O)(=O)[CH2][CH2]C(=O)O[CH3]
0.0,KLEK_2788,[!#1]S(=O)(=O)[CH2][CH3]
0.0,KLEK_2827,[!#1]S(=O)(=O)c1[cH][cH][cH]c2nsnc12
0.0,KLEK_2829,[!#1]S(=O)(=O)c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
0.0,KLEK_2754,[!#1]Oc1[cH][cH]c2[cH][cH][cH][cH]c2c1Br
0.0,KLEK_2831,[!#1]S(=O)(=O)c1[cH][cH]c([cH][cH]1)C(=O)[OH]
0.0,KLEK_2874,[!#1]S[CH2]C(=O)O[CH2][CH3]
0.0,KLEK_2877,[!#1]SC(=[NH])[NH]N=[CH][!#1]
0.0,KLEK_2878,[!#1]SC(=[NH])[NH2]
0.0,KLEK_2879,[!#1]SC(=C(Cl)Cl)[NH]C(=O)[!#1]
0.0,KLEK_2880,[!#1]SC(=N[CH2][CH3])[NH][CH2][CH3]
0.0,KLEK_2881,[!#1]SC(=O)[!#1]
0.0,KLEK_2882,[!#1]SC(F)(F)C(F)(F)C(F)(F)F
0.0,KLEK_2883,[!#1]SC(F)(F)F
0.0,KLEK_2887,[Na]OS(=O)=O
0.0,KLEK_2888,[O-][N+](=O)c1cc([N+](=O)[O-])c2ccccc2c1
0.0,KLEK_2889,[O-][N+](=O)c1cc(C=O)cc(c1)[N+](=O)[O-]
0.0,KLEK_2890,[O-][N+](=O)c1cc(C=O)ccc1Br
0.0,KLEK_2891,[O-][N+](=O)c1cc(C=O)ccc1Cl
0.0,KLEK_2892,[O-][N+](=O)c1cc(cc(c1)C(F)(F)F)[N+](=O)[O-]
0.0,KLEK_2893,[O-][N+](=O)c1cc(ccc1Cl)S(=O)=O
0.0,KLEK_2894,[O-][N+](=O)c1cc(NC=O)ccc1Cl
0.0,KLEK_2895,[O-][N+](=O)c1cc2ccccc2oc1=O
0.0,KLEK_2896,[O-][N+](=O)c1cc2OCOc2cc1C=N
0.0,KLEK_2897,[O-][N+](=O)c1cc2OCOc2cc1C=NNC=O
0.0,KLEK_2898,[O-][N+](=O)c1ccc(C=N)cc1
0.0,KLEK_2899,[O-][N+](=O)c1ccc(C=N)s1
0.0,KLEK_2900,[O-][N+](=O)c1ccc(C=NNC=O)cc1
0.0,KLEK_2901,[O-][N+](=O)c1ccc(C=NNC=O)o1
0.0,KLEK_2902,[O-][N+](=O)c1ccc(C=O)c(C=O)c1
0.0,KLEK_2903,[O-][N+](=O)c1ccc(C=O)c(c1)[N+](=O)[O-]
0.0,KLEK_2905,[O-][N+](=O)c1ccc(cc1)C(=O)CCC(Cl)(Cl)Cl
0.0,KLEK_2906,[O-][N+](=O)c1ccc(cc1)C(=O)NN=Cc2ccccc2
0.0,KLEK_2908,[O-][N+](=O)c1ccc(cc1)N2N=C(CC2=O)c3ccccc3
0.0,KLEK_2909,[O-][N+](=O)c1ccc(cc1)S(=O)=O
0.0,KLEK_2873,[!#1]S[CH2]C(=O)[OH]
0.0,KLEK_2872,[!#1]S[CH2]C(=O)[NH2]
0.0,KLEK_2871,[!#1]S[CH2]C(=O)[NH]N=[CH][!#1]
0.0,KLEK_2851,[!#1]S(=O)(=O)O[CH3]
0.0,KLEK_2833,[!#1]S(=O)(=O)c1[cH][cH]c([CH3])c([cH]1)[N+](=O)[O-]
0.0,KLEK_2836,[!#1]S(=O)(=O)c1[cH][cH]c(Cl)c([cH]1)[N+](=O)[O-]
0.0,KLEK_2838,[!#1]S(=O)(=O)c1[cH][cH]c(S(c2[cH][cH]c([cH][cH]2)S(=O)(=O)[!#1]))[cH][cH]1
0.0,KLEK_2840,[!#1]S(=O)(=O)c1c([cH]c([cH]c1[CH]([CH3])[CH3])[CH]([CH3])[CH3])[CH]([CH3])[CH3]
0.0,KLEK_2841,[!#1]S(=O)(=O)c1c([CH3])[cH]c([CH3])[cH]c1[CH3]
0.0,KLEK_2842,[!#1]S(=O)(=O)N([CH2][CH]([CH3])[CH3])[CH2][CH]([CH3])[CH3]
0.0,KLEK_2843,[!#1]S(=O)(=O)N([CH2][CH2][CH2][CH3])[CH2][CH2]C(=O)[NH2]
0.0,KLEK_2844,[!#1]S(=O)(=O)N([CH2][CH2][CH3])[CH2][CH2][CH3]
0.0,KLEK_2845,[!#1]S(=O)(=O)N([CH2][CH2][OH])[CH2][CH2][OH]
0.0,KLEK_2846,[!#1]S(=O)(=O)N([CH2][CH3])[CH2][CH3]
0.0,KLEK_2848,[!#1]S(=O)(=O)N1[CH2][CH2][CH2][CH2][CH2]1
0.0,KLEK_2849,[!#1]S(=O)(=O)N1[CH2][CH2]O[CH2][CH2]1
0.0,KLEK_2850,[!#1]S(=O)(=O)O[CH2][CH2]S(=O)(=O)[CH2][CH3]
0.0,KLEK_2852,[!#1]S(=O)(=O)O[K]
0.0,KLEK_2870,[!#1]S[CH2]C(=O)[CH3]
0.0,KLEK_2853,[!#1]S(=O)(=O)O[Na]
0.0,KLEK_2856,[!#1]S[CH]([!#1])[CH2]C(=O)[!#1]
0.0,KLEK_2857,[!#1]S[CH]([!#1])C(=O)[OH]
0.0,KLEK_2858,[!#1]S[CH]([NH]C(=O)[!#1])C(=O)[!#1]
0.0,KLEK_2859,[!#1]S[CH]([NH]C(=O)[!#1])C(Cl)(Cl)Cl
0.0,KLEK_2860,[!#1]S[CH2][CH2][CH2]S(=O)(=O)[OH]
0.0,KLEK_2862,[!#1]S[CH2][CH2][OH]
0.0,KLEK_2863,[!#1]S[CH2][CH2]C(F)(F)F
0.0,KLEK_2864,[!#1]S[CH2][CH2]S(=O)(=O)[!#1]
0.0,KLEK_2866,[!#1]S[CH2][CH2]SC(=[NH])[NH2]
0.0,KLEK_2867,[!#1]S[CH2][CH3]
0.0,KLEK_2868,[!#1]S[CH2][NH]C(=O)[!#1]
0.0,KLEK_2869,[!#1]S[CH2]C(=O)[!#1]
0.0,KLEK_2755,[!#1]Oc1[cH][cH]c2c([CH3])[cH]c(=O)oc2[cH]1
0.0,KLEK_2753,[!#1]Oc1[cH][cH]c2[cH][cH][cH][cH]c2c1[CH2]c3c(O[!#1])[cH][cH]c4[cH][cH][cH][cH]c34
0.0,KLEK_2602,[!#1]O[CH2]C(=O)[NH][NH]C(=O)[!#1]
0.0,KLEK_2665,[!#1]O[CH2]c1[cH][cH][cH][cH][cH]1
0.0,KLEK_2635,[!#1]O[CH2]C(=O)[NH]N=C([!#1])[CH3]
0.0,KLEK_2636,[!#1]O[CH2]C(=O)[NH]N=C([CH3])[CH]([!#1])[!#1]
0.0,KLEK_2637,[!#1]O[CH2]C(=O)[NH]N=C([CH3])[CH]=[CH][!#1]
0.0,KLEK_2638,[!#1]O[CH2]C(=O)[NH]N=C([CH3])[CH]=[CH]c1[cH][cH][cH]o1
0.0,KLEK_2639,[!#1]O[CH2]C(=O)[NH]N=C([CH3])c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
0.0,KLEK_2640,[!#1]O[CH2]C(=O)[NH]N=C([CH3])c1[cH][cH][cH]s1
0.0,KLEK_2641,[!#1]O[CH2]C(=O)[NH]N=C([CH3])c1[cH][cH]c(Br)s1
0.0,KLEK_2642,[!#1]O[CH2]C(=O)[NH]N=C(C(=O)[!#1])c1[cH]c(Br)[cH][cH]c1N([!#1])[CH3]
0.0,KLEK_2643,[!#1]O[CH2]C(=O)[NH]N=C1[CH2][CH2][CH2][CH2][CH2]1
0.0,KLEK_2644,[!#1]O[CH2]C(=O)[NH]N=C1C(=O)[NH]c2[cH][cH][cH][cH]c12
0.0,KLEK_2645,[!#1]O[CH2]C(=O)[NH]N=C1C(=O)[NH]c2[cH][cH]c([!#1])[cH]c12
0.0,KLEK_2646,[!#1]O[CH2]C(=O)[NH]N=C1C(=O)[NH]c2[cH][cH]c([cH]c12)[N+](=O)[O-]
0.0,KLEK_2647,[!#1]O[CH2]C(=O)[NH]N=C1C(=O)N([!#1])c2[cH][cH]c([!#1])[cH]c12
0.0,KLEK_2648,[!#1]O[CH2]C(=O)[NH]N=C1C(=O)N([CH3])c2[cH][cH]c(Br)[cH]c12
0.0,KLEK_2649,[!#1]O[CH2]C(=O)[NH2]
0.0,KLEK_2650,[!#1]O[CH2]C(=O)[OH]
0.0,KLEK_2651,[!#1]O[CH2]C(=O)c1[cH][cH][cH][cH][cH]1
0.0,KLEK_2652,[!#1]O[CH2]C(=O)c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
0.0,KLEK_2653,[!#1]O[CH2]C(=O)c1[cH][cH]c(Br)[cH][cH]1
0.0,KLEK_2654,[!#1]O[CH2]C(=O)c1[cH][cH]c(Cl)[cH][cH]1
0.0,KLEK_2655,[!#1]O[CH2]C(=O)c1[cH][cH]c(O[!#1])[cH][cH]1
0.0,KLEK_2656,[!#1]O[CH2]C(=O)N([!#1])[CH2][CH3]
0.0,KLEK_2657,[!#1]O[CH2]C(=O)N([!#1])[CH3]
0.0,KLEK_2658,[!#1]O[CH2]C(=O)N([CH2][CH3])[CH2][CH3]
0.0,KLEK_2659,[!#1]O[CH2]C(=O)O[!#1]
0.0,KLEK_2660,[!#1]O[CH2]C(=O)O[CH2]C(=O)[!#1]
0.0,KLEK_2661,[!#1]O[CH2]C(=O)O[CH3]
0.0,KLEK_2662,[!#1]O[CH2]C(=O)ON=[CH]c1[cH][cH]c(Br)[cH][cH]1
0.0,KLEK_2663,[!#1]O[CH2]C(=O)ON=C([CH3])C([CH3])([CH3])[CH3]
0.0,KLEK_2634,[!#1]O[CH2]C(=O)[NH]N=[CH]c1c(O[CH3])[cH][cH]c2[cH][cH][cH][cH]c12
0.0,KLEK_2633,[!#1]O[CH2]C(=O)[NH]N=[CH]c1c(Cl)[cH][cH][cH]c1Cl
0.0,KLEK_2632,[!#1]O[CH2]C(=O)[NH]N=[CH]c1c([OH])[cH][cH]c2[cH][cH][cH][cH]c12
0.0,KLEK_2616,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
0.0,KLEK_2603,[!#1]O[CH2]C(=O)[NH][NH]C(=O)[CH2][CH2][CH2][CH2][CH3]
0.0,KLEK_2604,[!#1]O[CH2]C(=O)[NH][NH2]
0.0,KLEK_2605,[!#1]O[CH2]C(=O)[NH]C(=O)O[!#1]
0.0,KLEK_2606,[!#1]O[CH2]C(=O)[NH]N=[CH][!#1]
0.0,KLEK_2607,[!#1]O[CH2]C(=O)[NH]N=[CH][CH]([!#1])[!#1]
0.0,KLEK_2608,[!#1]O[CH2]C(=O)[NH]N=[CH][CH]=[CH][!#1]
0.0,KLEK_2609,[!#1]O[CH2]C(=O)[NH]N=[CH][CH]=[CH]c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
0.0,KLEK_2610,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1[!#1]
0.0,KLEK_2611,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1[N+](=O)[O-]
0.0,KLEK_2612,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1[OH]
0.0,KLEK_2613,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1Cl
0.0,KLEK_2614,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1O[CH3]
0.0,KLEK_2615,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH]c([!#1])[cH]1
0.0,KLEK_2617,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH]c([!#1])[cH][cH]1
0.0,KLEK_2631,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH]c2O[CH2]Oc2[cH]c1[N+](=O)[O-]
0.0,KLEK_2618,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH]c([!#1])[cH]c1[OH]
0.0,KLEK_2619,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
0.0,KLEK_2620,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH]c([CH3])o1
0.0,KLEK_2621,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH]c([OH])[cH][cH]1
0.0,KLEK_2622,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH]c([OH])c([cH]1)[N+](=O)[O-]
0.0,KLEK_2623,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH]c(Cl)[cH][cH]1
0.0,KLEK_2624,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH]c(Cl)c([cH]1)[N+](=O)[O-]
0.0,KLEK_2625,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH]c(O[CH3])c([cH]1)[N+](=O)[O-]
0.0,KLEK_2626,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH][cH]c(s1)[N+](=O)[O-]
0.0,KLEK_2627,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH]c([cH][cH]c1[OH])[N+](=O)[O-]
0.0,KLEK_2628,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH]c(I)[cH]c([!#1])c1[OH]
0.0,KLEK_2629,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH]c(N=Nc2[cH][cH][cH][cH][cH]2)[cH][cH]c1[OH]
0.0,KLEK_2630,[!#1]O[CH2]C(=O)[NH]N=[CH]c1[cH]c2[cH][cH][cH][cH]c2nc1Cl
0.0,KLEK_2664,[!#1]O[CH2]C(F)(F)F
0.0,KLEK_2668,[!#1]OC([!#1])([!#1])c1[cH][cH][cH][cH]c1C(=O)[!#1]
0.0,KLEK_2752,[!#1]Oc1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1
0.0,KLEK_2669,[!#1]OC([!#1])([!#1])c1[cH][cH][cH][cH]c1C(=O)C([!#1])([!#1])c2[cH][cH][cH][cH][cH]2
0.0,KLEK_2716,[!#1]Oc1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
0.0,KLEK_2717,[!#1]Oc1[cH][cH]c([cH][cH]1)C([CH3])([CH3])[CH3]
0.0,KLEK_2718,[!#1]Oc1[cH][cH]c([cH][cH]1)C([CH3])([CH3])c2[cH][cH]c([!#1])[cH][cH]2
0.0,KLEK_2719,[!#1]Oc1[cH][cH]c([cH][cH]1)C([CH3])([CH3])c2[cH][cH]c(O[!#1])[cH][cH]2
0.0,KLEK_2721,[!#1]Oc1[cH][cH]c([cH][cH]1)C(=O)[OH]
0.0,KLEK_2722,[!#1]Oc1[cH][cH]c([cH][cH]1)C(c2[cH][cH][cH][cH]c2[!#1])(c3[cH][cH][cH][cH]c3[!#1])c4[cH][cH]c(O[!#1])[cH][cH]4
0.0,KLEK_2723,[!#1]Oc1[cH][cH]c([cH][cH]1)C(O[!#1])(c2[cH][cH][cH][cH][cH]2)c3[cH][cH]c([!#1])[cH][cH]3
0.0,KLEK_2724,[!#1]Oc1[cH][cH]c([cH][cH]1)N([!#1])[CH2]c2[cH][cH]c(Br)[cH][cH]2
0.0,KLEK_2725,[!#1]Oc1[cH][cH]c([cH][cH]1)N([!#1])[CH2]c2[cH][cH]c(F)[cH][cH]2
0.0,KLEK_2726,[!#1]Oc1[cH][cH]c([cH][cH]1)N([!#1])C(=O)[CH]([!#1])[CH2]C(=O)[!#1]
0.0,KLEK_2727,[!#1]Oc1[cH][cH]c([cH][cH]1)N([!#1])C(=O)[CH]([CH2]C(=O)[!#1])S[CH2]C(=O)[!#1]
0.0,KLEK_2729,[!#1]Oc1[cH][cH]c([cH][cH]1)S(=O)(=O)c2[cH][cH]c([!#1])[cH][cH]2
0.0,KLEK_2730,[!#1]Oc1[cH][cH]c([CH]=N[!#1])[cH][cH]1
0.0,KLEK_2731,[!#1]Oc1[cH][cH]c([CH]=N[!#1])[cH]c1[OH]
0.0,KLEK_2732,[!#1]Oc1[cH][cH]c([CH]=N[!#1])[cH]c1O[!#1]
0.0,KLEK_2733,[!#1]Oc1[cH][cH]c([CH]=N[!#1])c(O[!#1])[cH]1
0.0,KLEK_2734,[!#1]Oc1[cH][cH]c([CH]=O)[cH][cH]1
0.0,KLEK_2735,[!#1]Oc1[cH][cH]c([cH]c1O[!#1])[CH]([!#1])[!#1]
0.0,KLEK_2737,[!#1]Oc1[cH][cH]c([CH2][CH2]N([!#1])[CH3])[cH]c1O[!#1]
0.0,KLEK_2738,[!#1]Oc1[cH][cH]c([CH2]C(=O)[!#1])[cH][cH]1
0.0,KLEK_2739,[!#1]Oc1[cH][cH]c([CH2]C(=O)[!#1])[cH]c1O[!#1]
0.0,KLEK_2740,[!#1]Oc1[cH][cH]c([CH3])[cH][cH]1
0.0,KLEK_2742,[!#1]Oc1[cH][cH]c([CH3])[cH]c1[N+](=O)[O-]
0.0,KLEK_2743,[!#1]Oc1[cH][cH]c([CH3])c([CH3])[cH]1
0.0,KLEK_2744,[!#1]Oc1[cH][cH]c([NH]C(=O)[!#1])[cH]c1Cl
0.0,KLEK_2745,[!#1]Oc1[cH][cH]c([NH2])[cH][cH]1
0.0,KLEK_2746,[!#1]Oc1[cH][cH]c([OH])[cH][cH]1
0.0,KLEK_2748,[!#1]Oc1[cH][cH]c(C(=O)[OH])c([cH]1)C(=O)[OH]
0.0,KLEK_2751,[!#1]Oc1[cH][cH]c(O[!#1])[cH][cH]1
0.0,KLEK_2715,[!#1]Oc1[cH][cH]c([cH][cH]1)[CH]([!#1])[!#1]
0.0,KLEK_2714,[!#1]Oc1[cH][cH]c([!#1])c([cH]1)[N+](=O)[O-]
0.0,KLEK_2712,[!#1]Oc1[cH][cH]c([!#1])[cH]c1Br
0.0,KLEK_2686,[!#1]OC(=O)C(F)(F)F
0.0,KLEK_2670,[!#1]OC([!#1])([!#1])c1[cH]c([CH3])[nH]c(=O)c1C(=O)[!#1]
0.0,KLEK_2673,[!#1]OC(=O)[CH]([CH3])[NH]C(=O)OC([CH3])([CH3])[CH3]
0.0,KLEK_2674,[!#1]OC(=O)[CH]=[CH][!#1]
0.0,KLEK_2675,[!#1]OC(=O)[CH]=[CH]c1[cH][cH][cH][cH][cH]1
0.0,KLEK_2676,[!#1]OC(=O)[CH2][CH2][CH2]C(=O)O[!#1]
0.0,KLEK_2677,[!#1]OC(=O)[CH2][CH2][CH3]
0.0,KLEK_2678,[!#1]OC(=O)[CH2][CH2]C(=O)O[CH3]
0.0,KLEK_2679,[!#1]OC(=O)[CH2][CH3]
0.0,KLEK_2680,[!#1]OC(=O)[CH2]C(=O)[CH3]
0.0,KLEK_2682,[!#1]OC(=O)[NH][CH3]
0.0,KLEK_2683,[!#1]OC(=O)[NH]C(=O)[CH2][CH2]Br
0.0,KLEK_2684,[!#1]OC(=O)[NH2]
0.0,KLEK_2685,[!#1]OC(=O)C(=[CH2])[CH3]
0.0,KLEK_2687,[!#1]OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
0.0,KLEK_2709,[!#1]Oc1[cH][cH][cH]nc1[!#1]
0.0,KLEK_2688,[!#1]OC(=O)O[CH3]
0.0,KLEK_2689,[!#1]OC(C(=O)[!#1])(c1[cH][cH][cH][cH][cH]1)c2[cH][cH][cH][cH][cH]2
0.0,KLEK_2690,[!#1]OC(F)(F)[CH](F)Cl
0.0,KLEK_2691,[!#1]OC(F)(F)[CH](F)F
0.0,KLEK_2692,[!#1]OC1([CH2][CH2][CH2][CH2][CH2]1)C([!#1])([!#1])[!#1]
0.0,KLEK_2695,[!#1]Oc1[cH][cH][cH][cH]c1[N+](=O)[O-]
0.0,KLEK_2696,[!#1]Oc1[cH][cH][cH][cH]c1[NH]C(=O)[!#1]
0.0,KLEK_2697,[!#1]Oc1[cH][cH][cH][cH]c1[OH]
0.0,KLEK_2700,[!#1]Oc1[cH][cH][cH][cH]c1N([!#1])C(=O)[CH]([!#1])[CH2]C(=O)[!#1]
0.0,KLEK_2703,[!#1]Oc1[cH][cH][cH]c([CH]=N[!#1])c1[OH]
0.0,KLEK_2704,[!#1]Oc1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
0.0,KLEK_2705,[!#1]Oc1[cH][cH][cH]c([cH]1)C(=O)[!#1]
0.0,KLEK_2708,[!#1]Oc1[cH][cH][cH]c2[cH][cH][cH]nc12
0.0,KLEK_3307,CC(=O)NN=C1CCCc2c1non2=O
0.0,KLEK_3512,Cc1cc(C)nc(NC=O)n1
0.0,KLEK_3309,CC(=O)NN=Cc1c(O)ccc2ccccc12
0.0,KLEK_4366,O=c1c2cccc3cccc(c4nc5ccccc5n14)c32
0.0,KLEK_4406,O=C1CCCc2nc3ccccc3cc12
0.0,KLEK_4408,O=C1CCCCCN1
0.0,KLEK_4411,O=C1CCCN1c2ccccc2
0.0,KLEK_4412,O=C1CCCO1
