smiles,qed
CN(C)C(=O)NC1CCC(CCN2CCN(C3=CC=CC(C)=C3C)CC2C)C1,0.8395949012971262
N#CC1=CC=C2C(=C1)CCNC2CC#C,0.6947198547753093
CCCN1CCC2=CC=CC=C2C1CC3=CC=C(Cl)C=C3C,0.74953736919879
CC1=CC=CC(=C1)C(N2CCN(C)CC2)NC=CC=C=C=C=C3N=C3,0.6643792722849465
O=C(CCCN1CCC(O)(C2=CC=C(C)C=C2)CC1)C3=CC=C(C4)C=C34,0.6874183585180895
O=CNC=CC1=CCCCC1,0.6115352230592452
CCCN(CCC)C1CCC2=CC=C(C)C=C2C1,0.7583451769231847
COC1=CC=CC=C1N2CCC(C3CC4CCO3)CC24,0.8262609840626824
CC(N)CC1=C[NH1]C2=CC=CC=C12,0.7185527164618344
ClC1=CC=C(N2CCN(C3=N[NH1]C4=CC=CC=C34)CC25)C=C15,0.7456844944922596
CCCN1CCC2=CC=CC=C2C1CC=CC=CC(C)=C,0.6576367445106928
NC1=NC=CC=C1C=C,0.606403733202568
CN(C)CCCN1C2=CC=CC=C2NC3=CC=C(Cl)C=C31,0.8975788882936543
CCCCC1=CC=C(S(=O)(=O)NC2=CC=C3C(=C2)CCCC3)C4=C1O4,0.6438363579520013
FC1=CC=CC(N2CCN(CCCOC3=NC=CC=4[NH1]C=CC3=4)CC2)=C1C,0.6754348013709653
COC1=CC(CN2CCN(C3=CC=C(F)C=C3)CC2)=CC4=C1O4,0.6911136728915205
ClC1=CC=CC(N2CCN(CC3=CC=CN=C3)CC2)=C1Cl,0.8586524236120138
COC1=CC=CC=C1NCCN(C2C=CN(CC=CC=C)N=N2)CCC,0.6077115361448777
CC1=CC=CC(NC(=O)CCN2CCC(C3=CC=CC=N3)CC2)=C1,0.9142521963995647
NC1CCC2=C(F)C=CC=C2C1=O,0.6515587077962564
ClC=CC=C=C1NCCN(CC2=C[NH1]C3=CC=CC=C23)C1=C,0.6655956418668126
CCCC1=CC=CC2=C1C2(C=O)NCC3=CC=CC(=C3OC)O,0.7720281671499708
C=1OC=CC=CC=1N2CCN(CCCC=CC=C3[NH1]C(=O)[NH1]C3=C=C)CC2,0.7359602565194373
C=CCNCCCC(C1=CC=CC(C#N)=C12)C=C2,0.6098357334524568
CN(C)CCSC1=NC(C2=CC=CC=C2)=CS1=C3C#C3,0.8014114326128429
CCCN(CCC)C1CCC2=CC=C(C)C=C2C1,0.7583451769231847
C=1=CC2=CC(CC3CCCCC3)=C[NH1]CC2=C=1,0.7077139701399409
C1=CC=C(CC2CCCC3=CC=C4CCCCC34)C=C12,0.6682011278474389
